object alloc, Thread is main, class is Landroid/os/StrictMode$ThreadPolicy;, size is 24, tag is 1 
object alloc, Thread is main, class is Landroid/content/pm/ApplicationInfo;, size is 288, tag is 2 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 3 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 4 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 5 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 6 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 7 
object alloc, Thread is main, class is Ljava/util/UUID;, size is 24, tag is 8 
object alloc, Thread is main, class is Ljava/lang/String;, size is 88, tag is 9 
object alloc, Thread is main, class is Ljava/lang/String;, size is 88, tag is 10 
object alloc, Thread is main, class is Ljava/lang/String;, size is 96, tag is 11 
object alloc, Thread is main, class is Ljava/lang/String;, size is 96, tag is 12 
object alloc, Thread is main, class is Ljava/lang/String;, size is 96, tag is 13 
object alloc, Thread is main, class is Ljava/lang/String;, size is 88, tag is 14 
object alloc, Thread is main, class is Ljava/lang/String;, size is 32, tag is 15 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 16 
object alloc, Thread is main, class is Ljava/lang/String;, size is 32, tag is 17 
object alloc, Thread is main, class is Ljava/lang/String;, size is 64, tag is 18 
object alloc, Thread is main, class is Ljava/lang/String;, size is 64, tag is 19 
object alloc, Thread is main, class is Ljava/lang/String;, size is 64, tag is 20 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 21 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 22 
object alloc, Thread is main, class is [J, size is 56, tag is 23 
object alloc, Thread is main, class is Landroid/os/BaseLooper$MessageMonitorInfo;, size is 152, tag is 24 
object alloc, Thread is main, class is Landroid/os/BaseLooper$MessageMonitorInfo;, size is 152, tag is 25 
object alloc, Thread is main, class is [J, size is 56, tag is 26 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 27 
object alloc, Thread is main, class is [C, size is 48, tag is 28 
object alloc, Thread is main, class is [C, size is 96, tag is 29 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 30 
object alloc, Thread is main, class is [C, size is 48, tag is 31 
object alloc, Thread is main, class is [C, size is 80, tag is 32 
object alloc, Thread is main, class is [C, size is 32, tag is 33 
object alloc, Thread is main, class is Ljava/lang/String;, size is 16, tag is 34 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 35 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 36 
object alloc, Thread is main, class is [C, size is 176, tag is 37 
object alloc, Thread is main, class is [C, size is 344, tag is 38 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 39 
object alloc, Thread is main, class is [C, size is 48, tag is 40 
object alloc, Thread is main, class is [C, size is 80, tag is 41 
object alloc, Thread is main, class is [C, size is 32, tag is 42 
object alloc, Thread is main, class is Ljava/lang/String;, size is 16, tag is 43 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 44 
object alloc, Thread is main, class is Ljava/lang/String;, size is 48, tag is 45 
object alloc, Thread is main, class is Ljava/lang/String;, size is 136, tag is 46 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 47 
object alloc, Thread is main, class is [C, size is 48, tag is 48 
object alloc, Thread is main, class is [C, size is 80, tag is 49 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 50 
object alloc, Thread is main, class is [C, size is 48, tag is 51 
object alloc, Thread is main, class is [C, size is 80, tag is 52 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 53 
object alloc, Thread is main, class is [C, size is 272, tag is 54 
object alloc, Thread is main, class is [C, size is 32, tag is 55 
object alloc, Thread is main, class is Ljava/lang/String;, size is 16, tag is 56 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 57 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 58 
object alloc, Thread is main, class is [C, size is 160, tag is 59 
object alloc, Thread is main, class is Ljava/lang/String;, size is 64, tag is 60 
object alloc, Thread is main, class is [C, size is 528, tag is 61 
object alloc, Thread is main, class is Ljava/lang/String;, size is 160, tag is 62 
object alloc, Thread is main, class is [C, size is 352, tag is 63 
object alloc, Thread is main, class is [C, size is 696, tag is 64 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 65 
object alloc, Thread is main, class is [C, size is 48, tag is 66 
object alloc, Thread is main, class is [C, size is 32, tag is 67 
object alloc, Thread is main, class is Ljava/lang/String;, size is 16, tag is 68 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 69 
object alloc, Thread is main, class is [C, size is 80, tag is 70 
object alloc, Thread is main, class is [C, size is 152, tag is 71 
object alloc, Thread is main, class is Ljava/lang/String;, size is 88, tag is 72 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 73 
object alloc, Thread is main, class is [C, size is 272, tag is 74 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 75 
object alloc, Thread is main, class is [C, size is 48, tag is 76 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 77 
object alloc, Thread is main, class is [C, size is 48, tag is 78 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 79 
object alloc, Thread is main, class is Ljava/lang/String;, size is 24, tag is 80 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 81 
object alloc, Thread is main, class is [C, size is 48, tag is 82 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 83 
object alloc, Thread is main, class is [C, size is 80, tag is 84 
object alloc, Thread is main, class is Ljava/lang/String;, size is 40, tag is 85 
object alloc, Thread is main, class is [C, size is 80, tag is 86 
object alloc, Thread is main, class is [C, size is 152, tag is 87 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 88 
object alloc, Thread is main, class is [C, size is 80, tag is 89 
object alloc, Thread is main, class is Ljava/lang/String;, size is 40, tag is 90 
object alloc, Thread is main, class is [C, size is 296, tag is 91 
object alloc, Thread is main, class is Ljava/lang/String;, size is 136, tag is 92 
object alloc, Thread is main, class is [C, size is 528, tag is 93 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 94 
object alloc, Thread is main, class is [C, size is 48, tag is 95 
object alloc, Thread is main, class is [C, size is 80, tag is 96 
object alloc, Thread is main, class is [C, size is 152, tag is 97 
object alloc, Thread is main, class is Ljava/lang/String;, size is 56, tag is 98 
object alloc, Thread is main, class is [C, size is 1048, tag is 99 
object alloc, Thread is main, class is Ljava/lang/String;, size is 280, tag is 100 
object alloc, Thread is main, class is [C, size is 1384, tag is 101 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 102 
object alloc, Thread is main, class is [C, size is 272, tag is 103 
object alloc, Thread is main, class is Ljava/lang/StringBuilder;, size is 16, tag is 104 
object alloc, Thread is main, class is [C, size is 48, tag is 105 
